filename,predict,golden,positive count,negative count,neutral count
biden_58_0.txt,Neutral,Negative,0,143,188
biden_124_0.txt,Negative,Neutral,0,38,22
biden_138_0.txt,Neutral,Neutral,0,4,54
biden_139_2.txt,Neutral,Neutral,0,50,73
biden_143_0.txt,Negative,Negative,0,152,52
biden_143_2.txt,Negative,Neutral,0,178,103
biden_274_0.txt,Neutral,Negative,0,0,59
biden_308_0.txt,Neutral,Negative,9,29,38
biden_411_0.txt,Neutral,Negative,9,1,102
biden_434_0_0.txt,Neutral,Neutral,0,35,90
biden_582_1.txt,Positive,Neutral,63,5,20
biden_611_0.txt,Positive,Positive,148,0,0
biden_643_0.txt,Positive,Positive,43,3,14
biden_649_0.txt,Neutral,Positive,0,3,72
biden_850_0.txt,Negative,Neutral,0,152,38
biden_931_0.txt,Neutral,Neutral,0,1,59
biden_1051_0.txt,Neutral,Negative,23,34,60
biden_1080_0.txt,Neutral,Neutral,9,0,73
biden_135_2.txt,Neutral,Neutral,0,42,81
biden_138_1.txt,Negative,Negative,12,81,7
biden_177_0.txt,Neutral,Neutral,20,18,94
biden_824_4.txt,Positive,Neutral,54,12,3
biden_1026_0.txt,Neutral,Negative,0,4,56
biden_1566_3.txt,Neutral,Neutral,6,3,51
biden_2095_0.txt,Neutral,Positive,11,0,14
biden_3792_2.txt,Neutral,Neutral,0,0,63
biden_3930_0.txt,Positive,Positive,108,0,13
biden_4186_3.txt,Neutral,Neutral,5,1,24
biden_4642_4.txt,Neutral,Neutral,2,5,23
biden_4896_3.txt,Negative,Negative,0,34,0
biden_4991_1.txt,Neutral,Neutral,0,0,37
biden_5337_1.txt,Neutral,Positive,2,1,92
biden_5493_0.txt,Neutral,Neutral,5,0,20
biden_5610_0_0.txt,Neutral,Neutral,0,7,143
biden_6786_5.txt,Neutral,Neutral,3,2,84
biden_52_1.txt,Positive,Neutral,33,32,6
biden_121_0.txt,Negative,Neutral,4,14,12
biden_139_1.txt,Negative,Neutral,0,90,77
biden_232_1.txt,Negative,Negative,16,17,3
biden_277_4_0.txt,Neutral,Neutral,10,11,129
biden_372_1_0.txt,Positive,Positive,236,37,27
biden_485_0.txt,Neutral,Negative,0,0,237
biden_562_0.txt,Neutral,Negative,0,29,149
biden_603_5_0.txt,Negative,Neutral,0,100,50
biden_700_0_0.txt,Positive,Positive,300,0,0
biden_726_3.txt,Positive,Neutral,52,0,8
biden_893_0_0.txt,Neutral,Positive,24,6,120
biden_941_1_0.txt,Positive,Positive,298,0,0
biden_1035_3.txt,Negative,Neutral,0,55,5
biden_1070_0.txt,Neutral,Neutral,6,0,24
biden_1109_2.txt,Neutral,Neutral,8,0,41
biden_1128_0_0.txt,Neutral,Negative,0,0,271
biden_1330_0.txt,Neutral,Neutral,0,4,55
biden_1364_0.txt,Neutral,Neutral,0,20,47
biden_1374_4.txt,Negative,Neutral,0,67,0
biden_1411_0.txt,Neutral,Neutral,4,1,77
biden_2096_0.txt,Neutral,Neutral,0,30,79
biden_2324_3_0.txt,Positive,Positive,63,0,62
biden_2471_2.txt,Negative,Neutral,0,17,8
biden_2798_0.txt,Neutral,Neutral,1,2,21
biden_2825_0.txt,Negative,Neutral,1,117,18
biden_2978_3.txt,Positive,Neutral,65,24,39
biden_2980_0.txt,Negative,Neutral,0,109,0
biden_3001_0.txt,Neutral,Neutral,0,1,44
biden_3266_1.txt,Neutral,Neutral,0,0,25
biden_3270_5.txt,Negative,Negative,23,30,7
biden_3287_3.txt,Neutral,Neutral,0,15,15
biden_3329_1.txt,Neutral,Negative,0,4,183
biden_3396_0.txt,Neutral,Neutral,0,0,76
biden_3396_2_0.txt,Neutral,Neutral,14,7,279
biden_3398_0.txt,Positive,Neutral,50,1,9
biden_3529_0.txt,Neutral,Positive,15,8,37
biden_3537_4.txt,Neutral,Neutral,0,0,30
biden_3780_4.txt,Neutral,Positive,8,8,59
biden_3818_2.txt,Negative,Neutral,0,58,0
biden_3918_0.txt,Positive,Positive,22,0,8
biden_3948_0.txt,Negative,Negative,0,22,8
biden_4129_1.txt,Neutral,Neutral,0,0,34
biden_4318_0.txt,Neutral,Neutral,24,6,30
biden_4327_1.txt,Positive,Neutral,55,31,13
biden_4372_0.txt,Positive,Positive,76,13,5
biden_4582_0.txt,Positive,Neutral,55,20,19
biden_4978_0_3.txt,Positive,Positive,150,0,0
biden_5023_0.txt,Neutral,Neutral,2,6,52
biden_5212_0.txt,Negative,Neutral,20,26,17
biden_5221_0.txt,Negative,Negative,1,56,3
biden_5276_4.txt,Positive,Positive,60,0,31
biden_5426_2.txt,Negative,Neutral,1,33,25
biden_5526_0_2.txt,Positive,Positive,300,0,0
biden_5581_1.txt,Positive,Positive,25,0,0
biden_5596_3.txt,Neutral,Neutral,0,0,29
biden_5617_3.txt,Negative,Neutral,0,80,2
biden_5810_0.txt,Neutral,Neutral,5,0,25
biden_5814_0.txt,Negative,Neutral,0,132,10
biden_5973_1.txt,Neutral,Neutral,0,0,150
biden_6324_0.txt,Neutral,Negative,41,7,42
biden_6466_3.txt,Neutral,Positive,61,27,65
biden_6557_2.txt,Neutral,Neutral,0,0,30
biden_6560_2.txt,Negative,Neutral,0,40,0
biden_6568_2.txt,Negative,Neutral,0,41,20
biden_6645_0.txt,Negative,Neutral,12,25,0
biden_6813_2.txt,Negative,Neutral,0,25,0
biden_7084_0.txt,Positive,Positive,25,0,0
biden_7316_0.txt,Neutral,Neutral,0,22,38
biden_7380_5.txt,Negative,Neutral,19,33,1
biden_7398_4.txt,Neutral,Neutral,0,8,52
biden_7443_0_0.txt,Positive,Positive,150,0,0
biden_51_4.txt,Neutral,Neutral,2,35,212
biden_121_1.txt,Neutral,Neutral,0,6,23
biden_121_5.txt,Negative,Neutral,0,22,8
biden_135_1.txt,Negative,Neutral,5,83,77
biden_427_0_1.txt,Neutral,Neutral,0,0,125
biden_434_0_6.txt,Neutral,Neutral,0,36,89
biden_579_0.txt,Neutral,Neutral,0,0,109
biden_603_3_0.txt,Neutral,Neutral,0,59,91
biden_627_1.txt,Neutral,Neutral,1,1,28
biden_670_0.txt,Neutral,Neutral,0,3,123
biden_670_1.txt,Neutral,Neutral,2,7,22
biden_705_0.txt,Positive,Positive,31,5,0
biden_844_0.txt,Positive,Positive,48,10,16
